name,imports
World.Asia.South-eastern Asia.Thailand,"['World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.China', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.South-eastern Asia.Malaysia', 'World.Asia.South-eastern Asia.Vietnam', 'World.Oceania.Australia and New Zealand.Australia', 'World.Asia.South-eastern Asia.Indonesia', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.South-eastern Asia.Philippines', 'World.Asia.Southern Asia.India', 'World.Asia.South-eastern Asia.Cambodia', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Western Europe.Germany', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Europe.Northern Europe.United Kingdom', 'World.Asia.South-eastern Asia.Myanmar', 'World.Asia.South-eastern Asia.Lao PDR', 'World.Americas.Central America.Mexico', 'World.Africa.Southern Africa.South Africa', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Western Europe.France', 'World.Europe.Western Europe.Switzerland', 'World.Oceania.Australia and New Zealand.New Zealand', 'World.Americas.South America.Brazil', 'World.Europe.Southern Europe.Italy', 'World.Asia.Southern Asia.Pakistan', 'World.Americas.South America.Argentina', 'World.Asia.Western Asia.Saudi Arabia']"
World.Americas.Northern America.Canada,"['World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.China', 'World.Europe.Northern Europe.United Kingdom', 'World.Asia.Eastern Asia.Japan', 'World.Americas.Central America.Mexico', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Europe.Western Europe.Germany', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Southern Asia.India', 'World.Europe.Western Europe.France', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Europe.Western Europe.Belgium']"
World.Africa.Middle Africa.Congo Rep.,"['World.Asia.Eastern Asia.China', 'World.Europe.Southern Europe.Italy', 'World.Africa.Middle Africa.Gabon', 'World.Africa.Middle Africa.Angola', 'World.Asia.South-eastern Asia.Singapore', 'World.Africa.Southern Africa.Namibia', 'World.Africa.Middle Africa.Cameroon', 'World.Europe.Southern Europe.Spain', 'World.Americas.Northern America.United States', 'World.Europe.Northern Europe.Norway', 'World.Europe.Western Europe.Netherlands', 'World.Americas.Northern America.Canada', 'World.Europe.Western Europe.France']"
World.Asia.South-eastern Asia.Indonesia,"['World.Asia.Eastern Asia.China', 'World.Asia.Eastern Asia.Japan', 'World.Americas.Northern America.United States', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.Southern Asia.India', 'World.Asia.South-eastern Asia.Malaysia', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.South-eastern Asia.Thailand', 'World.Asia.South-eastern Asia.Philippines', 'World.Asia.South-eastern Asia.Vietnam', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Western Europe.Germany', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Oceania.Australia and New Zealand.Australia', 'World.Asia.Southern Asia.Pakistan', 'World.Europe.Southern Europe.Spain', 'World.Europe.Southern Europe.Italy', 'World.Asia.Southern Asia.Bangladesh', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Northern Europe.United Kingdom', 'World.Americas.South America.Brazil', 'World.Asia.Western Asia.Saudi Arabia', 'World.Europe.Western Europe.Belgium', 'World.Europe.Western Europe.France', 'World.Asia.Western Asia.Turkey']"
World.Europe.Northern Europe.United Kingdom,"['World.Americas.Northern America.United States', 'World.Europe.Western Europe.Germany', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Western Europe.France', 'World.Europe.Northern Europe.Ireland', 'World.Asia.Eastern Asia.China', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Western Europe.Belgium', 'World.Europe.Southern Europe.Italy', 'World.Europe.Southern Europe.Spain', 'World.Asia.Western Asia.United Arab Emirates', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.Western Asia.Turkey', 'World.Asia.Eastern Asia.Japan', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Americas.Northern America.Canada', 'World.Europe.Northern Europe.Sweden', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Southern Asia.India', 'World.Oceania.Australia and New Zealand.Australia', 'World.Europe.Northern Europe.Norway', 'World.Asia.Western Asia.Saudi Arabia', 'World.Asia.Western Asia.Qatar', 'World.Europe.Northern Europe.Denmark', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Eastern Europe.Czech Republic', 'World.Americas.South America.Brazil', 'World.Europe.Western Europe.Austria', 'World.Africa.Southern Africa.South Africa', 'World.Americas.Central America.Mexico', 'World.Asia.South-eastern Asia.Thailand', 'World.Europe.Southern Europe.Portugal']"
World.Americas.Caribbean.Saint Maarten (Dutch part),
World.Americas.Caribbean.Dominica,
World.Americas.Caribbean.St. Lucia,"['World.Americas.Northern America.United States', 'World.Americas.Caribbean.Dominica', 'World.Europe.Northern Europe.United Kingdom', 'World.Americas.Caribbean.Barbados', 'World.Americas.Caribbean.Trinidad and Tobago', 'World.Europe.Western Europe.France', 'World.Americas.South America.Guyana', 'World.Americas.Caribbean.Antigua and Barbuda', 'World.Americas.Caribbean.St. Kitts and Nevis', 'World.Americas.Caribbean.St. Vincent and the Grenadines', 'World.Americas.Caribbean.Grenada']"
World.Americas.Caribbean.British Virgin Islands,
World.Americas.Caribbean.St. Kitts and Nevis,
World.Americas.South America.Brazil,"['World.Asia.Eastern Asia.China', 'World.Americas.Northern America.United States', 'World.Americas.South America.Argentina', 'World.Europe.Western Europe.Netherlands', 'World.Americas.South America.Chile', 'World.Europe.Western Europe.Germany', 'World.Americas.Central America.Mexico', 'World.Europe.Southern Europe.Spain', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Southern Asia.India', 'World.Europe.Southern Europe.Italy', 'World.Americas.South America.Paraguay', 'World.Americas.Northern America.Canada', 'World.Americas.South America.Colombia', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Americas.Central America.Panama', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.Belgium', 'World.Americas.South America.Uruguay', 'World.Europe.Western Europe.France', 'World.Americas.South America.Peru', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.Western Asia.Turkey', 'World.Asia.Southern Asia.Iran Islamic Rep.', 'World.Africa.Northern Africa.Egypt Arab Rep.', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Eastern Europe.Russian Federation', 'World.Asia.South-eastern Asia.Malaysia', 'World.Asia.South-eastern Asia.Thailand', 'World.Asia.Western Asia.Saudi Arabia', 'World.Asia.South-eastern Asia.Vietnam', 'World.Africa.Southern Africa.South Africa', 'World.Americas.South America.Bolivia', 'World.Asia.South-eastern Asia.Indonesia', 'World.Europe.Southern Europe.Portugal', 'World.Asia.Southern Asia.Bangladesh']"
World.Americas.South America.Chile,"['World.Asia.Eastern Asia.China', 'World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Americas.South America.Brazil', 'World.Americas.South America.Peru', 'World.Europe.Southern Europe.Spain', 'World.Europe.Western Europe.Netherlands', 'World.Americas.South America.Bolivia', 'World.Americas.Central America.Mexico', 'World.Asia.Southern Asia.India', 'World.Americas.Northern America.Canada', 'World.Europe.Western Europe.France', 'World.Europe.Western Europe.Germany', 'World.Europe.Eastern Europe.Russian Federation', 'World.Americas.South America.Argentina', 'World.Europe.Southern Europe.Italy', 'World.Americas.South America.Colombia', 'World.Europe.Northern Europe.United Kingdom', 'World.Americas.South America.Paraguay']"
World.Asia.South-eastern Asia.Vietnam,"['World.Asia.Eastern Asia.China', 'World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Southern Asia.India', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Western Europe.Germany', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.Austria', 'World.Asia.South-eastern Asia.Thailand', 'World.Asia.South-eastern Asia.Malaysia', 'World.Europe.Western Europe.France', 'World.Oceania.Australia and New Zealand.Australia', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.South-eastern Asia.Philippines', 'World.Asia.South-eastern Asia.Indonesia', 'World.Europe.Southern Europe.Italy', 'World.Asia.South-eastern Asia.Cambodia', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Southern Europe.Spain', 'World.Americas.Northern America.Canada', 'World.Americas.South America.Brazil']"
World.Africa.Northern Africa.Algeria,
World.Americas.South America.Paraguay,"['World.Americas.South America.Brazil', 'World.Americas.South America.Argentina', 'World.Europe.Eastern Europe.Russian Federation', 'World.Americas.South America.Chile', 'World.Asia.Southern Asia.India', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Eastern Europe.Poland', 'World.Europe.Southern Europe.Italy', 'World.Americas.South America.Uruguay', 'World.Americas.Northern America.United States', 'World.Americas.South America.Peru', 'World.Europe.Northern Europe.United Kingdom', 'World.Asia.Western Asia.Israel', 'World.Asia.South-eastern Asia.Vietnam', 'World.Asia.South-eastern Asia.Indonesia', 'World.Asia.Southern Asia.Bangladesh', 'World.Asia.Western Asia.Turkey', 'World.Americas.Central America.Panama', 'World.Americas.South America.Bolivia']"
World.Americas.South America.Peru,"['World.Asia.Eastern Asia.China', 'World.Americas.Northern America.United States', 'World.Asia.Southern Asia.India', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.Eastern Asia.Japan', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Southern Europe.Spain', 'World.Americas.South America.Brazil', 'World.Europe.Western Europe.Netherlands', 'World.Americas.South America.Chile', 'World.Europe.Western Europe.Germany', 'World.Americas.Northern America.Canada', 'World.Americas.South America.Ecuador', 'World.Americas.South America.Colombia', 'World.Europe.Northern Europe.United Kingdom', 'World.Americas.South America.Bolivia', 'World.Europe.Southern Europe.Italy', 'World.Europe.Western Europe.Belgium', 'World.Americas.Central America.Mexico']"
World.Americas.South America.Uruguay,"['World.Asia.Eastern Asia.China', 'World.Americas.South America.Brazil', 'World.Americas.Northern America.United States', 'World.Americas.South America.Argentina', 'World.Asia.Western Asia.Turkey', 'World.Africa.Northern Africa.Algeria', 'World.Europe.Western Europe.Netherlands', 'World.Americas.Central America.Mexico', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Western Europe.Germany', 'World.Americas.South America.Paraguay', 'World.Americas.South America.Peru', 'World.Asia.Western Asia.Iraq', 'World.Europe.Southern Europe.Portugal', 'World.Asia.Western Asia.Israel', 'World.Americas.South America.Chile', 'World.Europe.Southern Europe.Italy', 'World.Europe.Southern Europe.Spain', 'World.Americas.South America.Bolivia', 'World.Europe.Northern Europe.United Kingdom', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Americas.Caribbean.Cuba', 'World.Asia.South-eastern Asia.Thailand']"
World.Africa.Northern Africa.Egypt Arab Rep.,"['World.Europe.Southern Europe.Italy', 'World.Asia.Western Asia.Turkey', 'World.Asia.Western Asia.United Arab Emirates', 'World.Americas.Northern America.United States', 'World.Asia.Western Asia.Saudi Arabia', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Southern Europe.Spain', 'World.Asia.Southern Asia.India', 'World.Asia.Eastern Asia.China', 'World.Africa.Northern Africa.Algeria', 'World.Europe.Western Europe.France', 'World.Europe.Western Europe.Germany', 'World.Africa.Northern Africa.Libya', 'World.Asia.Western Asia.Jordan', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Western Asia.Lebanon', 'World.Africa.Northern Africa.Tunisia', 'World.Africa.Northern Africa.Morocco', 'World.Europe.Southern Europe.Malta', 'World.Asia.Western Asia.Iraq', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Southern Europe.Greece', 'World.Africa.Eastern Africa.Kenya', 'World.Europe.Western Europe.Belgium', 'World.Asia.Western Asia.Syrian Arab Republic', 'World.Asia.Western Asia.Yemen', 'World.Asia.Western Asia.Kuwait', 'World.Americas.South America.Brazil', 'World.Asia.South-eastern Asia.Malaysia', 'World.Europe.Eastern Europe.Hungary', 'World.Europe.Western Europe.Switzerland', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Africa.Western Africa.Nigeria', 'World.Africa.Eastern Africa.Ethiopia(excludes Eritrea)', 'World.Asia.Western Asia.Oman', 'World.Asia.Southern Asia.Pakistan', 'World.Asia.Eastern Asia.Japan', 'World.Europe.Southern Europe.Portugal', 'World.Europe.Eastern Europe.Poland']"
World.Asia.South-eastern Asia.Malaysia,"['World.Asia.South-eastern Asia.Singapore', 'World.Asia.Eastern Asia.China', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.Japan', 'World.Asia.South-eastern Asia.Thailand', 'World.Europe.Western Europe.Germany', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.South-eastern Asia.Vietnam', 'World.Asia.Southern Asia.India', 'World.Europe.Western Europe.Netherlands', 'World.Oceania.Australia and New Zealand.Australia', 'World.Asia.South-eastern Asia.Indonesia', 'World.Asia.South-eastern Asia.Philippines', 'World.Americas.Central America.Mexico', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.France', 'World.Asia.Southern Asia.Bangladesh']"
World.Asia.Western Asia.Saudi Arabia,"['World.Asia.Western Asia.United Arab Emirates', 'World.Asia.Eastern Asia.China', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.Southern Asia.India', 'World.Asia.Western Asia.Bahrain', 'World.Europe.Western Europe.Belgium', 'World.Asia.Western Asia.Turkey', 'World.Asia.Western Asia.Kuwait', 'World.Americas.Northern America.United States']"
World.Americas.Central America.Mexico,"['World.Americas.Northern America.United States', 'World.Americas.Northern America.Canada', 'World.Asia.Eastern Asia.China', 'World.Europe.Western Europe.Germany', 'World.Americas.South America.Brazil', 'World.Europe.Southern Europe.Spain', 'World.Asia.Eastern Asia.Japan']"
World.Americas.South America.Colombia,"['World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.China', 'World.Americas.Central America.Panama', 'World.Americas.South America.Ecuador', 'World.Americas.Central America.Mexico', 'World.Asia.Western Asia.Turkey', 'World.Americas.South America.Brazil', 'World.Americas.South America.Peru', 'World.Americas.South America.Chile', 'World.Europe.Southern Europe.Spain', 'World.Europe.Western Europe.Netherlands', 'World.Americas.Northern America.Canada', 'World.Americas.Caribbean.St. Lucia', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.Southern Asia.India', 'World.Asia.Eastern Asia.Japan', 'World.Europe.Western Europe.Germany', 'World.Europe.Southern Europe.Italy', 'World.Asia.Western Asia.Israel', 'World.Europe.Northern Europe.United Kingdom', 'World.Asia.South-eastern Asia.Singapore', 'World.Europe.Western Europe.Belgium', 'World.Americas.Central America.Guatemala', 'World.Americas.South America.Venezuela', 'World.Americas.Caribbean.Dominican Republic', 'World.Americas.Caribbean.Bahamas The', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Southern Europe.Portugal']"
World.Europe.Eastern Europe.Russian Federation,"['World.Asia.Eastern Asia.China', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Western Europe.Germany', 'World.Europe.Eastern Europe.Belarus', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.Western Asia.Turkey', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Central Asia.Kazakhstan', 'World.Asia.Eastern Asia.Japan', 'World.Americas.Northern America.United States', 'World.Europe.Southern Europe.Italy', 'World.Europe.Northern Europe.Finland', 'World.Europe.Eastern Europe.Ukraine', 'World.Europe.Western Europe.Belgium', 'World.Asia.Southern Asia.India', 'World.Europe.Northern Europe.United Kingdom', 'World.Africa.Northern Africa.Egypt Arab Rep.', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Southern Europe.Malta', 'World.Europe.Northern Europe.Latvia', 'World.Europe.Western Europe.France', 'World.Europe.Northern Europe.Lithuania', 'World.Asia.Central Asia.Uzbekistan', 'World.Europe.Eastern Europe.Czech Republic', 'World.Europe.Northern Europe.Denmark', 'World.Europe.Eastern Europe.Slovak Republic', 'World.Europe.Southern Europe.Greece', 'World.Europe.Eastern Europe.Hungary', 'World.Europe.Northern Europe.Sweden', 'World.Asia.South-eastern Asia.Singapore', 'World.Americas.South America.Brazil', 'World.Europe.Southern Europe.Spain', 'World.Europe.Eastern Europe.Bulgaria', 'World.Europe.Northern Europe.Estonia', 'World.Africa.Northern Africa.Algeria', 'World.Americas.Central America.Mexico', 'World.Asia.South-eastern Asia.Vietnam', 'World.Asia.Western Asia.Israel']"
World.Americas.South America.Bolivia,"['World.Americas.South America.Brazil', 'World.Americas.South America.Argentina', 'World.Asia.Southern Asia.India', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.China', 'World.Americas.South America.Colombia', 'World.Americas.South America.Peru', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Western Europe.Netherlands', 'World.Americas.Northern America.Canada', 'World.Europe.Western Europe.Belgium', 'World.Americas.South America.Ecuador', 'World.Oceania.Australia and New Zealand.Australia']"
World.Europe.Eastern Europe.Poland,"['World.Europe.Western Europe.Germany', 'World.Europe.Eastern Europe.Czech Republic', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.France', 'World.Europe.Southern Europe.Italy', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Eastern Europe.Russian Federation', 'World.Americas.Northern America.United States', 'World.Europe.Northern Europe.Sweden', 'World.Europe.Eastern Europe.Hungary', 'World.Europe.Southern Europe.Spain', 'World.Europe.Eastern Europe.Slovak Republic', 'World.Europe.Western Europe.Belgium', 'World.Europe.Eastern Europe.Ukraine', 'World.Europe.Western Europe.Austria', 'World.Europe.Northern Europe.Denmark', 'World.Europe.Northern Europe.Lithuania', 'World.Asia.Western Asia.Turkey', 'World.Europe.Northern Europe.Norway', 'World.Asia.Eastern Asia.China', 'World.Europe.Northern Europe.Finland', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Eastern Europe.Belarus', 'World.Americas.Northern America.Canada', 'World.Europe.Northern Europe.Latvia', 'World.Europe.Northern Europe.Ireland']"
World.Oceania.Australia and New Zealand.Australia,"['World.Asia.Eastern Asia.China', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.Southern Asia.India', 'World.Americas.Northern America.United States', 'World.Oceania.Australia and New Zealand.New Zealand', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.South-eastern Asia.Singapore', 'World.Asia.South-eastern Asia.Thailand', 'World.Asia.South-eastern Asia.Malaysia', 'World.Asia.South-eastern Asia.Indonesia', 'World.Asia.South-eastern Asia.Vietnam', 'World.Europe.Northern Europe.United Kingdom', 'World.Europe.Western Europe.Netherlands', 'World.Oceania.Melanesia.Papua New Guinea', 'World.Europe.Western Europe.Germany', 'World.Asia.South-eastern Asia.Philippines']"
World.Asia.Southern Asia.Bangladesh,
World.Americas.South America.Ecuador,"['World.Americas.Northern America.United States', 'World.Americas.South America.Peru', 'World.Asia.Eastern Asia.China', 'World.Americas.South America.Chile', 'World.Americas.Central America.Panama', 'World.Asia.South-eastern Asia.Vietnam', 'World.Americas.South America.Colombia', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Southern Europe.Italy', 'World.Europe.Southern Europe.Spain', 'World.Europe.Western Europe.Germany', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Southern Asia.India', 'World.Europe.Western Europe.France', 'World.Americas.South America.Argentina', 'World.Europe.Western Europe.Belgium', 'World.Europe.Northern Europe.United Kingdom', 'World.Asia.Western Asia.Turkey', 'World.Americas.Central America.Mexico', 'World.Asia.South-eastern Asia.Indonesia']"
World.Africa.Northern Africa.Morocco,"['World.Europe.Southern Europe.Spain', 'World.Europe.Western Europe.France', 'World.Americas.Northern America.United States', 'World.Europe.Southern Europe.Italy', 'World.Asia.Southern Asia.India', 'World.Europe.Western Europe.Germany', 'World.Europe.Northern Europe.United Kingdom', 'World.Americas.South America.Brazil', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Western Asia.Turkey', 'World.Asia.South-eastern Asia.Singapore', 'World.Europe.Southern Europe.Portugal', 'World.Europe.Western Europe.Belgium', 'World.Asia.Southern Asia.Pakistan', 'World.Americas.Northern America.Canada', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Eastern Asia.China', 'World.Africa.Western Africa.Senegal', 'World.Asia.Eastern Asia.Japan', ""World.Africa.Western Africa.Cote d'Ivoire"", 'World.Americas.Central America.Mexico', 'World.Europe.Western Europe.Austria', 'World.Africa.Western Africa.Mauritania', 'World.Europe.Eastern Europe.Bulgaria', 'World.Africa.Northern Africa.Algeria', 'World.Africa.Northern Africa.Tunisia', 'World.Europe.Northern Europe.Ireland', 'World.Europe.Western Europe.Switzerland', 'World.Africa.Western Africa.Nigeria']"
World.Americas.South America.Venezuela,
World.Asia.South-eastern Asia.Philippines,"['World.Asia.Eastern Asia.Hong Kong China', 'World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.China', 'World.Asia.Eastern Asia.Japan', 'World.Asia.South-eastern Asia.Singapore', 'World.Europe.Western Europe.Germany', 'World.Asia.South-eastern Asia.Thailand', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.South-eastern Asia.Malaysia', 'World.Europe.Western Europe.France', 'World.Asia.South-eastern Asia.Vietnam', 'World.Asia.South-eastern Asia.Indonesia']"
World.Europe.Eastern Europe.Bulgaria,"['World.Europe.Western Europe.Germany', 'World.Europe.Southern Europe.Italy', 'World.Asia.Western Asia.Turkey', 'World.Europe.Southern Europe.Greece', 'World.Europe.Western Europe.France', 'World.Europe.Western Europe.Belgium', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Eastern Asia.China', 'World.Europe.Southern Europe.Spain', 'World.Europe.Eastern Europe.Czech Republic', 'World.Europe.Eastern Europe.Poland', 'World.Europe.Northern Europe.United Kingdom', 'World.Americas.Northern America.United States', 'World.Europe.Western Europe.Austria', 'World.Europe.Eastern Europe.Hungary', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Southern Europe.Macedonia FYR', 'World.Europe.Northern Europe.Sweden', 'World.Europe.Eastern Europe.Slovak Republic', 'World.Africa.Northern Africa.Egypt Arab Rep.', 'World.Asia.South-eastern Asia.Singapore', 'World.Europe.Southern Europe.Slovenia', 'World.Europe.Eastern Europe.Ukraine', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Northern Europe.Denmark', 'World.Europe.Southern Europe.Croatia', 'World.Asia.Western Asia.Georgia', 'World.Africa.Southern Africa.South Africa', 'World.Europe.Southern Europe.Gibraltar', 'World.Asia.Southern Asia.India']"
World.Asia.Western Asia.Iraq,
World.Asia.Western Asia.Georgia,"['World.Asia.Western Asia.Azerbaijan', 'World.Europe.Eastern Europe.Russian Federation', 'World.Asia.Western Asia.Armenia', 'World.Europe.Eastern Europe.Bulgaria', 'World.Asia.Western Asia.Turkey', 'World.Asia.Eastern Asia.China', 'World.Europe.Eastern Europe.Ukraine', 'World.Americas.Northern America.United States', 'World.Asia.Central Asia.Kazakhstan', 'World.Asia.Central Asia.Uzbekistan', 'World.Asia.Southern Asia.Iran Islamic Rep.', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Southern Europe.Spain', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Western Europe.Germany', 'World.Asia.Central Asia.Turkmenistan', 'World.Europe.Western Europe.France', 'World.Europe.Southern Europe.Italy', 'World.Europe.Northern Europe.Lithuania', 'World.Asia.Western Asia.United Arab Emirates', 'World.Asia.Central Asia.Kyrgyz Republic']"
World.Asia.Western Asia.Syrian Arab Republic,
World.Europe.Western Europe.Belgium,"['World.Europe.Western Europe.Germany', 'World.Europe.Western Europe.France', 'World.Europe.Western Europe.Netherlands', 'World.Europe.Northern Europe.United Kingdom', 'World.Americas.Northern America.United States', 'World.Europe.Southern Europe.Italy', 'World.Europe.Southern Europe.Spain', 'World.Europe.Eastern Europe.Poland', 'World.Asia.Southern Asia.India', 'World.Asia.Eastern Asia.China', 'World.Europe.Northern Europe.Sweden', 'World.Europe.Western Europe.Luxembourg', 'World.Asia.Western Asia.Turkey', 'World.Europe.Western Europe.Switzerland', 'World.Europe.Western Europe.Austria', 'World.Europe.Eastern Europe.Russian Federation', 'World.Americas.South America.Brazil', 'World.Europe.Eastern Europe.Czech Republic', 'World.Americas.Northern America.Canada', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Northern Europe.Denmark', 'World.Europe.Eastern Europe.Hungary', 'World.Africa.Western Africa.Nigeria', 'World.Europe.Southern Europe.Portugal', 'World.Europe.Northern Europe.Finland', 'World.Europe.Northern Europe.Ireland', 'World.Asia.Western Asia.Israel', 'World.Oceania.Australia and New Zealand.Australia', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Oceania.Micronesia.Marshall Islands', 'World.Europe.Northern Europe.Norway']"
World.Asia.Eastern Asia.Japan,"['World.Asia.Eastern Asia.China', 'World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.Korea Rep.', 'World.Asia.South-eastern Asia.Thailand', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.South-eastern Asia.Singapore', 'World.Europe.Western Europe.Germany', 'World.Asia.South-eastern Asia.Indonesia', 'World.Asia.South-eastern Asia.Vietnam', 'World.Oceania.Australia and New Zealand.Australia', 'World.Europe.Western Europe.Netherlands', 'World.Asia.South-eastern Asia.Malaysia', 'World.Europe.Northern Europe.United Kingdom', 'World.Americas.Central America.Mexico', 'World.Asia.South-eastern Asia.Philippines', 'World.Asia.Southern Asia.India', 'World.Americas.Northern America.Canada', 'World.Americas.Central America.Panama', 'World.Europe.Western Europe.France', 'World.Europe.Eastern Europe.Russian Federation', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Western Europe.Belgium', 'World.Europe.Southern Europe.Italy', 'World.Americas.South America.Brazil']"
World.Asia.Eastern Asia.Korea Rep.,"['World.Asia.Eastern Asia.China', 'World.Americas.Northern America.United States', 'World.Asia.Eastern Asia.Hong Kong China', 'World.Asia.South-eastern Asia.Vietnam', 'World.Asia.Eastern Asia.Japan', 'World.Asia.Southern Asia.India', 'World.Asia.South-eastern Asia.Philippines', 'World.Asia.South-eastern Asia.Singapore', 'World.Americas.Central America.Mexico', 'World.Europe.Western Europe.Germany', 'World.Asia.South-eastern Asia.Malaysia', 'World.Asia.South-eastern Asia.Indonesia', 'World.Asia.South-eastern Asia.Thailand', 'World.Oceania.Australia and New Zealand.Australia', 'World.Europe.Eastern Europe.Russian Federation', 'World.Europe.Northern Europe.United Kingdom', 'World.Americas.South America.Brazil', 'World.Americas.Northern America.Canada', 'World.Asia.Western Asia.Turkey', 'World.Europe.Eastern Europe.Poland', 'World.Europe.Western Europe.Netherlands', 'World.Asia.Western Asia.United Arab Emirates', 'World.Europe.Northern Europe.Norway', 'World.Europe.Southern Europe.Italy', 'World.Asia.Western Asia.Saudi Arabia', 'World.Europe.Western Europe.France', 'World.Europe.Eastern Europe.Slovak Republic', 'World.Europe.Western Europe.Belgium', 'World.Oceania.Micronesia.Marshall Islands']"
