partner_x,partner_code_x,year,value,Global Name_x,Region Name_x,Intermediate Region Name_x,Region Name_y,Intermediate Region Name_y,ISO-alpha3 Code_y,reporter
Netherlands,NLD,2018,132628.45054,World,Europe,Western Europe,Asia,Western Asia,ARM,Armenia
China,CHN,2018,107251.87075,World,Asia,Eastern Asia,Asia,Western Asia,ARM,Armenia
"Iran, Islamic Rep.",IRN,2018,94299.38865,World,Asia,Southern Asia,Asia,Western Asia,ARM,Armenia
United Arab Emirates,ARE,2018,74697.31746000002,World,Asia,Western Asia,Asia,Western Asia,ARM,Armenia
Georgia,GEO,2018,68070.92421999999,World,Asia,Western Asia,Asia,Western Asia,ARM,Armenia
Syrian Arab Republic,SYR,2018,55913.84654,World,Asia,Western Asia,Asia,Western Asia,ARM,Armenia
Romania,ROM,2018,55029.330160000005,,,,Asia,Western Asia,ARM,Armenia
Italy,ITA,2018,49812.85392999999,World,Europe,Southern Europe,Asia,Western Asia,ARM,Armenia
Belgium,BEL,2018,49394.61020999999,World,Europe,Western Europe,Asia,Western Asia,ARM,Armenia
Unspecified,UNS,2018,36832.373177268295,,,,Americas,Caribbean,ABW,Aruba
Colombia,COL,2018,14637.414403138,World,Americas,South America,Americas,Caribbean,ABW,Aruba
United States,USA,2018,10203.107193970998,World,Americas,Northern America,Americas,Caribbean,ABW,Aruba
China,CHN,2018,75127263.63316897,World,Asia,Eastern Asia,Oceania,Australia and New Zealand,AUS,Australia
Japan,JPN,2018,26750540.50200175,World,Asia,Eastern Asia,Oceania,Australia and New Zealand,AUS,Australia
"Korea, Rep.",KOR,2018,14002661.036867607,World,Asia,Eastern Asia,Oceania,Australia and New Zealand,AUS,Australia
India,IND,2018,11130014.522094343,World,Asia,Southern Asia,Oceania,Australia and New Zealand,AUS,Australia
United States,USA,2018,10007702.98539874,World,Americas,Northern America,Oceania,Australia and New Zealand,AUS,Australia
New Zealand,NZL,2018,8039926.504583374,World,Oceania,Australia and New Zealand,Oceania,Australia and New Zealand,AUS,Australia
"Hong Kong, China",HKG,2018,7992362.299527194,World,Asia,Eastern Asia,Oceania,Australia and New Zealand,AUS,Australia
"Other Asia, nes",OAS,2018,6860709.879326624,,,,Oceania,Australia and New Zealand,AUS,Australia
Singapore,SGP,2018,5150648.343506111,World,Asia,South-eastern Asia,Oceania,Australia and New Zealand,AUS,Australia
Thailand,THA,2018,4965674.223610797,World,Asia,South-eastern Asia,Oceania,Australia and New Zealand,AUS,Australia
Malaysia,MYS,2018,4835737.535649786,World,Asia,South-eastern Asia,Oceania,Australia and New Zealand,AUS,Australia
Indonesia,IDN,2018,4687156.796504879,World,Asia,South-eastern Asia,Oceania,Australia and New Zealand,AUS,Australia
Vietnam,VNM,2018,3711348.917687228,World,Asia,South-eastern Asia,Oceania,Australia and New Zealand,AUS,Australia
United Kingdom,GBR,2018,3562938.911097785,World,Europe,Northern Europe,Oceania,Australia and New Zealand,AUS,Australia
Netherlands,NLD,2018,2570383.1231283788,World,Europe,Western Europe,Oceania,Australia and New Zealand,AUS,Australia
Papua New Guinea,PNG,2018,1904720.4830434087,World,Oceania,Melanesia,Oceania,Australia and New Zealand,AUS,Australia
Germany,DEU,2018,1793340.6062139112,World,Europe,Western Europe,Oceania,Australia and New Zealand,AUS,Australia
Philippines,PHL,2018,1637044.888552836,World,Asia,South-eastern Asia,Oceania,Australia and New Zealand,AUS,Australia
Germany,DEU,2018,69379526.65189339,World,Europe,Western Europe,Europe,Western Europe,AUT,Austria
United States,USA,2018,16307506.883724902,World,Americas,Northern America,Europe,Western Europe,AUT,Austria
Italy,ITA,2018,12824399.211609049,World,Europe,Southern Europe,Europe,Western Europe,AUT,Austria
Switzerland,CHE,2018,10064404.199047247,World,Europe,Western Europe,Europe,Western Europe,AUT,Austria
France,FRA,2018,9323523.70333976,World,Europe,Western Europe,Europe,Western Europe,AUT,Austria
Czech Republic,CZE,2018,7836235.755614677,World,Europe,Eastern Europe,Europe,Western Europe,AUT,Austria
Hungary,HUN,2018,7253731.523813957,World,Europe,Eastern Europe,Europe,Western Europe,AUT,Austria
Poland,POL,2018,6828926.409214915,World,Europe,Eastern Europe,Europe,Western Europe,AUT,Austria
China,CHN,2018,6451485.682119096,World,Asia,Eastern Asia,Europe,Western Europe,AUT,Austria
United Kingdom,GBR,2018,6318264.962415395,World,Europe,Northern Europe,Europe,Western Europe,AUT,Austria
Slovak Republic,SVK,2018,4877228.742177142,World,Europe,Eastern Europe,Europe,Western Europe,AUT,Austria
Netherlands,NLD,2018,4460579.829669783,World,Europe,Western Europe,Europe,Western Europe,AUT,Austria
Spain,ESP,2018,4055341.381275881,World,Europe,Southern Europe,Europe,Western Europe,AUT,Austria
Slovenia,SVN,2018,4017819.2638230715,World,Europe,Southern Europe,Europe,Western Europe,AUT,Austria
Romania,ROM,2018,3950706.6968141934,,,,Europe,Western Europe,AUT,Austria
Russian Federation,RUS,2018,3113042.656222566,World,Europe,Eastern Europe,Europe,Western Europe,AUT,Austria
Belgium,BEL,2018,2972603.5570842773,World,Europe,Western Europe,Europe,Western Europe,AUT,Austria
Sweden,SWE,2018,2561742.5745450994,World,Europe,Northern Europe,Europe,Western Europe,AUT,Austria
Mexico,MEX,2018,2201155.4907767856,World,Americas,Central America,Europe,Western Europe,AUT,Austria
Australia,AUS,2018,2158246.004553065,World,Oceania,Australia and New Zealand,Europe,Western Europe,AUT,Austria
Japan,JPN,2018,2098150.3490998307,World,Asia,Eastern Asia,Europe,Western Europe,AUT,Austria
"Korea, Rep.",KOR,2018,2008866.3056320446,World,Asia,Eastern Asia,Europe,Western Europe,AUT,Austria
Canada,CAN,2018,1918181.7073522706,World,Americas,Northern America,Europe,Western Europe,AUT,Austria
Turkey,TUR,2018,1862144.2538909889,World,Asia,Western Asia,Europe,Western Europe,AUT,Austria
Croatia,HRV,2018,1773622.1088574678,World,Europe,Southern Europe,Europe,Western Europe,AUT,Austria
India,IND,2018,1447323.1883292592,World,Asia,Southern Asia,Europe,Western Europe,AUT,Austria
Special Categories,SPE,2018,1253156.1805990906,,,,Europe,Western Europe,AUT,Austria
Malaysia,MYS,2018,1155549.5669463775,World,Asia,South-eastern Asia,Europe,Western Europe,AUT,Austria
Brazil,BRA,2018,1140261.3981603049,World,Americas,South America,Europe,Western Europe,AUT,Austria
Italy,ITA,2018,5879466.45377,World,Europe,Southern Europe,Asia,Western Asia,AZE,Azerbaijan
Turkey,TUR,2018,1829408.85306,World,Asia,Western Asia,Asia,Western Asia,AZE,Azerbaijan
Israel,ISR,2018,1310776.36529,World,Asia,Western Asia,Asia,Western Asia,AZE,Azerbaijan
Czech Republic,CZE,2018,938396.5525,World,Europe,Eastern Europe,Asia,Western Asia,AZE,Azerbaijan
India,IND,2018,819558.97949,World,Asia,Southern Asia,Asia,Western Asia,AZE,Azerbaijan
Germany,DEU,2018,789754.43623,World,Europe,Western Europe,Asia,Western Asia,AZE,Azerbaijan
"Other Asia, nes",OAS,2018,714216.2951199999,,,,Asia,Western Asia,AZE,Azerbaijan
Russian Federation,RUS,2018,667861.7751799999,World,Europe,Eastern Europe,Asia,Western Asia,AZE,Azerbaijan
Indonesia,IDN,2018,597606.7617900001,World,Asia,South-eastern Asia,Asia,Western Asia,AZE,Azerbaijan
Canada,CAN,2018,585435.5075500002,World,Americas,Northern America,Asia,Western Asia,AZE,Azerbaijan
Portugal,PRT,2018,528719.26301,World,Europe,Southern Europe,Asia,Western Asia,AZE,Azerbaijan
Georgia,GEO,2018,508166.79030999995,World,Asia,Western Asia,Asia,Western Asia,AZE,Azerbaijan
France,FRA,2018,444579.3289300001,World,Europe,Western Europe,Asia,Western Asia,AZE,Azerbaijan
Spain,ESP,2018,396437.8734999999,World,Europe,Southern Europe,Asia,Western Asia,AZE,Azerbaijan
Ukraine,UKR,2018,363943.4075000001,World,Europe,Eastern Europe,Asia,Western Asia,AZE,Azerbaijan
United States,USA,2018,341707.7716,World,Americas,Northern America,Asia,Western Asia,AZE,Azerbaijan
Romania,ROM,2018,338161.07107999997,,,,Asia,Western Asia,AZE,Azerbaijan
Austria,AUT,2018,329767.5424100001,World,Europe,Western Europe,Asia,Western Asia,AZE,Azerbaijan
United Kingdom,GBR,2018,263545.82898,World,Europe,Northern Europe,Asia,Western Asia,AZE,Azerbaijan
United States,USA,2018,445410.90187,World,Americas,Northern America,Americas,Caribbean,BHS,"Bahamas, The"
Ireland,IRL,2018,28966.26486,World,Europe,Northern Europe,Americas,Caribbean,BHS,"Bahamas, The"
Panama,PAN,2018,28095.7373,World,Americas,Central America,Americas,Caribbean,BHS,"Bahamas, The"
Turks and Caicos Isl.,TCA,2018,18845.265030000002,World,Americas,Caribbean,Americas,Caribbean,BHS,"Bahamas, The"
France,FRA,2018,11383.78266,World,Europe,Western Europe,Americas,Caribbean,BHS,"Bahamas, The"
